,confirmation_code,AssignmentStatus,Finished,What.is.your.age.,What.is.your.gender.,What.level.of.education.have.you.completed.,What.is.your.current.job.title.,With.which.ethnicity.do.you.most.identify.,To.give.us.this.information..take.the.following.steps..1..Click.on.the.link..www.onetonline.org.....,The.last.step.is.to.enter.the.six.to.eight.digit.code.corresponding.to.your.occupation.category....
1,11886994,Approved,1,49,Female,High school/GED,Assistant Property Manager,Caucasian,"Property, Real Estate, and Community Association Managers",11-9141.00
2,15738613,Approved,1,31,Female,4-year degree,sales rep,African American,Sales Representatives,41-3099
3,21326075,Approved,1,26,Male,4-year degree,waiter,Asian,Waiters and Waitresses,35-3031.00
4,28224587,Approved,1,27,Female,Masters or equivalent,research assistant,Asian,Biological Technicians,19-4021.00
5,28862568,Approved,1,35,Male,4-year degree,community manager,Caucasian,Retail Salesperson,41-2031.00
6,40185426,Approved,1,38,Male,4-year degree,accountant,Hispanic,accountant,13-2011.01
7,46290377,Approved,0,44,Female,2-year degree,nurse case manager,Caucasian,#NAME?,29-2061.00
8,53391810,Approved,1,26,Female,2-year degree,management,Caucasian,Sales Managers,11-2022.00
9,54132469,Approved,1,24,Male,2-year degree,orderfiller,Caucasian,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062.00
10,54636982,Approved,1,25,Female,4-year degree,Office Manager,Caucasian,Administrative Services Managers,11-3011.00
11,58690210,Approved,1,42,Female,4-year degree,Legal Assistant,Asian,Paralegals and Legal Assistants,23-2011.00
12,64844878,Approved,1,24,Male,4-year degree,Front End Web Developer,Caucasian,Web Developers,15-1134.00
13,67690407,Approved,1,27,Female,High school/GED,online educator,Caucasian,Reporters and Correspondents,27-3022.00
14,73548060,Approved,0,32,Male,4-year degree,Writing Assistant,African American,English Language and Literature Teachers,25-1123.00
15,77026244,Approved,1,25,Female,4-year degree,ASL Interpreter,Caucasian,Interpreters and Translators,27-3091.00
16,77154026,Approved,1,35,Male,High school/GED,Floor Supervisor,Caucasian,Cabinetmakers and Bench Carpenters,51-7011.00
17,77773326,Approved,1,40,Male,2-year degree,LOGISTICS MANAGER,Caucasian,Logistics Managers,11-3071.03
18,95212440,Approved,1,34,Male,4-year degree,Supervisor,Caucasian,Operating Engineers and Other Construction Equipment Operators,47-2073.00
19,95763486,Approved,1,53,Male,High school/GED,mechanical engineer,Caucasian,Mechanical Engineers,17-2141.00
20,98675439,Approved,1,22,Male,4-year degree,Student Supervisor,Caucasian,Administrative Service Managers,11-3011.00
21,100282989,Approved,1,40,Female,Masters or equivalent,Archivist,Caucasian,Archivists,25-4011.00
22,101245972,Approved,1,28,Female,High school/GED,housekeeper,African American,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00
23,101300958,Approved,1,28,Female,4-year degree,waitress,Caucasian,Waiters and Waitresses,35-3031.00
24,102789093,Approved,1,33,Female,Masters or equivalent,Media Director,Caucasian,Advertising and Promotions Managers,11-2011.00
25,103634846,Approved,1,21,Female,4-year degree,Assistant writer,Other:,Copy Writer,27-3043.04
26,105414383,Approved,1,28,Male,2-year degree,meat ass.,Caucasian,grocery store meat associate,51-3021.00
27,106486100,Approved,0,29,Male,High school/GED,Restoration,Caucasian,"Maintenance and Repair Workers, General",49-9071.00
28,107259755,Approved,1,22,Female,2-year degree,Clinical Support,Caucasian,Medical Assistant,31-9092.00
29,107571516,Approved,1,20,Female,High school/GED,Server,Caucasian,Waiters and Waitresses,35-3031.00
30,108372245,Approved,1,31,Male,Masters or equivalent,Lead Engineer,Caucasian,Software Quality Assurance Engineers and Testers,15-1199.01
