IPAddress,confirmation_code
IP Address,confirmation_code
"{""ImportId"":""ipAddress""}","{""ImportId"":""confirmation_code""}"
173.18.244.80,98675439
68.97.235.108,77773326
67.85.106.229,22658513
73.25.38.146,77154026
198.160.134.100,40185426
196.53.44.236,95212440
142.129.109.174,15738613
66.25.58.149,28224587
24.129.2.91,54132469
173.173.79.165,64844878
72.228.42.128,77026244
104.3.176.117,28862568
98.220.50.99,95763486
73.150.225.69,21326075
199.244.49.67,37825553
104.52.25.66,58690210
68.131.11.228,11886994
157.182.121.185,54636982
83.132.255.97,67690407
208.100.186.45,53391810
199.244.50.172,70011416
173.173.207.122,60037865
45.23.155.197,90441003
65.101.250.228,39452583
73.136.153.45,59332048
198.24.30.133,58783600
68.187.170.54,85657835
69.141.198.1,46290377
73.45.98.197,29025459
99.186.50.182,49028490
66.25.58.149,81431775
142.129.109.174,68283367
71.120.84.21,17103515
67.253.96.35,380433668
174.34.164.124,73548060
72.185.154.63,373148541
24.21.67.221,463462509
143.207.14.96,476357436
108.65.208.253,821939259
173.168.6.120,377590189
69.244.19.98,682016506
68.185.239.53,218046889
107.143.130.67,630941097
73.152.168.250,457490864
199.27.255.189,318402402
24.139.88.182,217214469
70.176.153.174,978072621
73.212.201.206,968235066
107.77.173.2,301675071
71.54.96.216,763842838
45.27.232.55,560765497
70.174.94.152,489328536
24.148.94.178,521176306
65.33.237.11,966871590
199.244.49.67,844827400
69.47.241.212,281807026
103.66.79.71,620698164
67.85.106.229,392190732
73.39.40.216,815008537
73.81.153.108,498571292
52.144.44.250,611784317
47.34.35.68,975676688
173.10.74.81,488421025
71.246.236.216,546314221
76.217.129.76,887049032
142.129.109.174,106754439
71.198.227.11,876865780
73.19.130.68,169045223
177.237.19.21,643735154
24.185.126.172,148948156
72.190.112.43,227219124
162.194.132.141,120413329
66.25.58.149,841752521
73.85.140.18,466022546
68.110.212.184,522369239
198.24.30.133,505032838
107.13.131.218,349593481
157.182.121.185,722126639
73.192.27.97,249979985
209.37.105.2,530422626
83.132.255.97,232890952
71.197.116.253,239988008
73.177.242.89,864420722
69.9.56.247,884107701
