Self-Reported Job Title,O*NET Occupation Title,O*NET Job Code,O*NET Job Complexity (5-point scale),Impact of Decisions,Consequences of Error,Responsibility for Others,Unstructured (vs. Structured) Work,Freedom to Make Decisions,Independence in Completing Work,Attention to Detail,Social Skills,Level of Competition,Innovation,Dealing With Unpleasant or Angry People 
Crew Chief,Air Crew Members,55-3011.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CFO,Chief Executives,11-1011.00,5,97,61,70,100,98,89,87,45,80,82,64
Chief Operating Officer,Chief Executives,11-1011.00,5,97,61,70,100,98,89,87,45,80,82,64
Manager,General and operations manager,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Manager,General and Operations Manager,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Manager,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Special Events Operations Manager,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Manager - Revenue Generation,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
MANAGER,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Operations Manager,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Store Manager,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
manager,General and Operations Managers,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
General Manager,General Manager,11-1021.00,4,88,57,81,95,95,75,81,39,61,66,61
Account Executive,Advertising and Promotions Managers,11-2011.00,4,79,27,21,85,79,77,93,22,53,88,43
Account Manager,Advertising and Promotions Managers,11-2011.00,4,79,27,21,85,79,77,93,22,53,88,43
Marketing and Design Assistant,Marketing Manager,11-2021.00,4,79,44,30,91,86,72,83,28,74,78,44
Membership Coordinator and Executive Assistant,Marketing Manager,11-2021.00,4,79,44,30,91,86,72,83,28,74,78,44
Designer,Marketing Managers,11-2021.00,4,79,44,30,91,86,72,83,28,74,78,44
Assistant Brand Manager,Marketing Managers,11-2021.00,4,79,44,30,91,86,72,83,28,74,78,44
Assistant Director of Marketing and Communications,Marketing Managers,11-2021.00,4,79,44,30,91,86,83,83,28,74,79,44
Store Manager,Sales Managers,11-2022.00,4,69,37,33,83,86,76,78,45,85,66,54
Business Development Team Leader,Sales Managers ,11-2022.00,4,69,37,33,83,86,76,78,45,85,66,54
Director of Sales,Sales Managers  ,11-2022.00,4,69,37,33,83,86,76,78,45,85,66,54
Global Training Lead,Sales Manager,11-2022.00 ,4,69,37,33,83,86,76,78,45,85,66,54
retail manager,Sales Manager,11-2022.00 ,4,69,37,33,83,86,76,78,45,85,66,54
Sales Manger,Sales Managers,11-2022.00 ,4,69,37,33,83,86,76,78,45,85,66,54
Sales,Sales managers,11-2022.00 ,4,69,37,33,83,86,76,78,45,85,66,54
Sales Manager,Sales Managers,11-2022.00 ,4,69,37,33,83,86,76,78,45,85,66,54
Director of Communications, Public Relations and Fundraising Managers,11-2031.00,4,92,41,44,90,87,83,91,45,68,80,51
Student Services Manager,Administrative Services Managers,11-3011.00,3,76,39,61,89,86,87,91,28,45,64,62
Director Client Services,Administrative Services Managers,11-3011.00,3,76,39,61,89,86,87,91,28,45,64,62
Administrative Support Supervisor,Administrative Services Managers,11-3011.00,3,76,39,61,89,86,87,91,28,45,64,62
Office Manager, Administrative Services Managers,11-3011.00 ,3,76,39,61,89,86,87,91,28,45,64,62
In Field Systems Repair Tech and Tech Manager,Computer and Information Systems Managers,11-3021.00,4,81,59,41,89,87,79,85,11,59,75,48
IT Director,Computer and Information Systems Managers,11-3021.00,4,81,59,41,89,87,79,85,11,59,75,48
it team lead,Computer and Information Systems Managers ,11-3021.00,4,81,59,41,89,87,79,85,11,59,75,48
System Administrator,Computer and Information Systems Managers,11-3021.00,4,81,59,41,89,87,79,85,11,59,75,48
IT,Computer and Information Systems Managers,11-3021.00        ,4,81,59,41,89,87,79,85,11,59,75,48
Cmptroller,Financial Managers,11-3031.00,5,82,50,36,85,87,76,88,28,68,64,43
Financial Manager,Treasurers and Controllers,11-3031.01,5,82,50,36,85,87,76,88,28,68,64,43
Financial Advisor,"Financial Managers, Branch or Department",11-3031.02,4,77,52,61,80,79,68,91,39,70,58,65
Lending Assistant,"Financial Managers, Branch or Department",11-3031.02,4,77,52,61,80,79,68,91,39,70,58,65
manager,Industrial Production Manager,11-3051.00,4,89,60,89,86,90,75,88,39,62,71,59
foreman,industrial production managers,11-3051.00,4,89,60,89,86,90,75,88,39,62,71,59
Quality Systems Manager,Quality Control Systems Managers,11-3051.01,4,88,73,88,82,76,78,94,17,68,71,60
Senior Contracts Specialist,Purchasing Managers,11-3061.00,4,86,50,42,80,83,68,77,28,63,63,50
Buyer,Purchasing Managers,11-3061.00,4,86,50,42,80,83,68,77,28,63,63,50
Aviation Analyst,Transportation Managers,11-3071.01,4,89,52,80,95,95,72,82,17,59,67,70
OFFICE MANAGER,Compensation and Benefits Managers,11-3111.00,4,64,36,37,89,88,73,94,61,45,61,38
Human Resources Manager,Human Resources Managers,11-3121.00,4,79,55,60,91,91,71,76,78,55,66,58
Human Resources Manager,Human Resources Managers,11-3121.00,4,79,55,60,91,91,71,76,78,55,66,58
HR Manager,Human Resources Managers ,11-3121.00,4,79,55,60,91,91,71,76,78,55,66,58
Training Manager,Training and Development Managers,11-3131.00 ,4,67,25,40,83,86,70,88,83,52,83,45
owner/manager,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Property Manager,Construction Managers,11-9021.00,4,73,50,70,71,75,67,83,17,67,54,56
Preschool Instructor,"Education Administrators, Preschool and Childcare Center/Program",11-9031.00,4,96,54,87,95,94,92,89,83,39,81,50
Principal,"Education Administrators, Elementary and Secondary School",11-9032.00,5,87,52,89,89,94,79,86,89,55,75,80
Department Administrator,"Education Administrators, Postsecondary",11-9033.00,5,80,30,56,93,94,74,79,61,58,74,48
