Q29,Q29_TEXT,Q10,Q11,Q12,Q14,Q31,Q15,Q16,Q17,Q18,Q19,Q28,Q20,Q20_TEXT,Q21,Q22,Q22_TEXT
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,52,Male,16,Ph.D. or equivalent,Yes,professor,"25-1123.00 English language and literature teachers,, postsecondary",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,66000,38,Caucasian, 
United States, ,34,Male,8,Masters or equivalent,Yes,Assuraance Manager,Auditor,Full-time,Private (for-profit) sector,Yes,No,American Dollar,120000,50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,35,Male,10,4-year degree,Yes,Teacher,"25-2022.00 Middle School Teachers, Except Special and Career/Technical Education Bright Outlook",Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,50000,40,Caucasian, 
United States, ,50,Female,3,4-year degree,Yes,artist,"Fine Artists, Including Painters, Sculptors, and Illustrators",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,35,Female,6,2-year degree,Yes,Purchasing Manager,Purchasing Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,96000,40,Asian, 
 , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , 
United States, ,22,Female,1,High school/GED,Yes,Property Manager,Construction Managers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,23000,40,Hispanic, 
United States, ,31,Female,4,4-year degree, ,mt,Medical and Clinical Laboratory Technologists,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,"30,000",40,Caucasian, 
United States, ,54,Male,15,Ph.D. or equivalent,Yes,Telephone systems analyst,15-1121.00 - Computer Systems Analysts,Full-time,Public (not-for-profit) sector,Yes,No,I'd rather not say, ,40,Caucasian, 
United States, ,34,Female,2,Masters or equivalent,Yes,Grant writer,Fundraisers,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,40000,65,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,43,Male,1,2-year degree,Yes, driver,heavy and tractor-trailer truck drivers,Full-time,Private (for-profit) sector,Yes,No,American Dollar,30000,50,Caucasian, 
 , , , , , , , , , , , , , , , , , 
United States, ,23,Male,4,High school/GED,Yes,Patrolman,Law Enforcement,Full-time,Public (not-for-profit) sector,Yes,No,American Dollar,40000,50,Caucasian, 
United States, ,48,Male,4,2-year degree,Yes,Farm Laborer,45-2092.02,Part-time,Private (for-profit) sector,Yes,No,American Dollar,"24,000",20,Caucasian, 
United States, ,36,Female,0,4-year degree,Yes,Homemaker,Homemaker,Full-time,Public (not-for-profit) sector,No,Yes,American Dollar,"45,000",0,Caucasian, 
United States, ,33,Female,2,4-year degree,Yes,sales consultant,"41-9099.00	Sales and Related Workers, All Other",Full-time,Private (for-profit) sector,Yes,No,I'd rather not say, ,30,Caucasian, 
Canada, ,24,Female,5,2-year degree,Yes,Customer service representative,Customer Service Representatives,Full-time,Private (for-profit) sector,Yes,No,Canadian Dollar,29000,40,Caucasian, 
 , , , , , , , , , , , , , , , , , 
