ID,ONETCode,Gender,Age,White,AfnAmn,AsnPI,HispLat,NAorAI,Other,OthrTxt,Educ,HSGPA,HS4,HSTotal,ColGPA,ColGPA4,ColGPATotal,CurrEmpl,AvgHrs,JobTitle,Mgmt,NumMgmt,Salary,CHIncome,Rltnshp,Chldrn,NumChlrn,USLadder,CommLadd,OrgLadd,X1,countryCode,countryName,block
971,25.4013.00,2,23,1,NA,NA,NA,NA,NA,NA,5,3.9,1,NA,3.9,1,NA,1,20,Museum Aide,2,NA,NA,NA,2,2,NA,4,5,2,961,US,United States,0
540,NA,2,25,1,NA,NA,NA,NA,NA,NA,5,3.9,1,NA,3.5,1,NA,1,35,NA,2,NA,NA,NA,1,2,NA,6,6,9,536,US,United States,0
59,11.2021.00,2,42,NA,NA,1,NA,NA,NA,NA,5,3.6,1,NA,3,1,NA,1,40,Marketing Director/Business Development (for a law,1,1,NA,NA,2,1,1,7,7,9,59,US,United States,0
1239,11.1021.00,1,39,NA,NA,1,NA,NA,NA,NA,5,3.2,1,NA,3,1,NA,1,35,Supervisor,2,NA,NA,NA,2,1,3,6,8,8,1206,US,United States,0
142,11.3031.02,2,36,NA,NA,NA,1,NA,NA,NA,5,3.5,1,NA,3.8,1,NA,1,40,Finance Manager,1,2,65000,6500,3,1,2,5,5,5,142,US,United States,0
487,NA,2,24,1,NA,NA,NA,NA,NA,NA,6,4,1,NA,3.85,1,NA,1,40,Senior Research Fellow,2,NA,20000,2000,1,2,NA,7,6,8,483,BD,Bangladesh,0
180,NA,1,30,1,NA,NA,NA,NA,NA,NA,3,2.67,NA,NA,NA,2,NA,1,30,TURKER,2,NA,10000,1000,1,2,NA,7,8,6,180,US,United States,0
1008,11.1021.00,1,48,1,NA,NA,NA,NA,NA,NA,6,3.98,1,NA,3.5,1,NA,1,50,Business Program Director,1,3,180000,2800,2,1,2,8,8,7,997,US,United States,0
216,17.2061.00,2,26,NA,NA,1,NA,NA,NA,NA,6,3,1,NA,4,1,NA,1,50,computer engineer,1,30,NA,NA,2,2,NA,5,7,6,216,US,United States,0
186,11.9121.01,2,27,1,NA,NA,NA,NA,NA,NA,5,3.7,1,NA,3.84,1,NA,1,35,research coordinator,2,NA,42000,3000,1,2,NA,6,5,4,186,US,United States,0
153,31.1013.00,2,25,1,NA,NA,NA,NA,NA,NA,5,4,1,NA,3.89,1,NA,1,20,Psychiatrist's assistant,2,NA,25000,7500,2,2,NA,6,7,4,153,US,United States,0
16,43.3031.00,2,35,1,NA,NA,NA,NA,NA,NA,4,3.5,1,NA,3.75,1,NA,1,38,bookkeeper,2,NA,37100,8000,2,1,4,6,7,2,16,US,United States,0
722,31.9097.00,2,25,NA,NA,NA,NA,NA,1,mixed,5,3.2,1,NA,2.8,1,NA,1,25,Phlebotomist,2,NA,NA,NA,1,2,NA,6,9,10,716,US,United States,0
140,43.3051.00,2,62,1,NA,NA,NA,NA,NA,NA,3,3.8,1,NA,4,1,NA,1,30,Payroll Admin,2,NA,20000,2000,3,1,1,6,6,7,140,US,United States,0
913,41.4012.00,2,23,1,NA,NA,NA,NA,NA,NA,5,3.6,1,NA,2.8,1,NA,1,65,sales professional,2,NA,11000,2500,2,2,NA,3,4,1,903,US,United States,0
102,13.2011.01,2,38,1,NA,NA,NA,NA,NA,NA,3,3,1,NA,4,1,NA,1,10,ACCOUNTING,2,NA,NA,7000,2,1,2,6,6,3,102,US,United States,0
495,NA,2,37,1,NA,NA,NA,NA,NA,NA,5,3.9,1,NA,3.8,1,NA,1,60,Lead Organizer,1,4,67500,6750,1,2,NA,7,9,8,491,US,United States,0
